GENE	TCGA-04-1348	TCGA-04-1357	TCGA-04-1362	TCGA-04-1364	TCGA-04-1365	TCGA-04-1514	TCGA-04-1519	TCGA-09-0364	TCGA-09-0366	TCGA-09-0367	TCGA-09-0369	TCGA-09-1662
ENTPD5	2.2867	2.1759	2.7269	2.1789	2.6625	3.5403	3.1685	2.5818	2.6547	1.2106	2.0517	3.2138
ENTPD6	5.2778	4.9877	5.2592	6.4771	5.3953	5.7853	4.5557	5.9706	6.2109	5.0092	6.7683	5.9662
ENTPD7	1.6109	1.0153	1.7348	2.004	1.6849	2.6972	1.2871	2.6466	0.9664	0.766	2.2275	1.3402
ENTPD8	0.2794	0.1589	0.9006	0.9425	0.7068	1.6663	1.4654	0.1932	2.7457	2.4327	0.698	0.2432
ENY2	6.5575	6.7836	7.0676	7.0301	7.7786	6.9269	5.9552	6.6208	6.2856	7.1307	6.8631	6.5471
EOMES	1.1665	2.363	0.1149	0.0213	1.2445	0.3291	0.0674	0.0763	0.4262	0.1211	0.1435	1.0138
EP300	3.7119	4.1273	4.7347	4.497	4.0745	4.6849	4.4042	4.9931	3.9968	3.178	4.0885	4.3423
EP400NL	2.2246	1.296	2.2232	2.141	2.2497	2.9988	2.5697	3.8878	2.4566	1.0322	3.269	1.161
EP400	3.6759	3.454	4.4634	4.193	3.8553	5.5306	4.5063	5.8632	4.2924	2.4981	4.215	3.8538
EPAS1	4.3457	4.7341	4.3387	3.931	4.1936	4.1262	3.0786	3.7038	4.0492	4.7337	5.2413	3.9564
EPB41L1	3.4873	5.44	5.7137	6.0002	3.7325	5.519	5.7603	3.7813	5.8024	4.4664	4.1201	5.1371
EPB41L2	5.6085	5.1947	4.7125	5.0406	4.4897	5.5005	3.9963	3.6516	5.7818	3.43	4.7818	4.4283
EPB41L3	3.236	3.3404	2.2439	0.4721	2.9149	4.4868	0.6121	0.5525	4.0231	1.1309	1.7629	3.4374
EPB41L4A	3.3079	4.8775	4.1122	4.9632	2.7859	4.898	3.5672	2.9335	3.4707	3.4223	3.5103	4.858
EPB41L4B	2.31	2.5955	5.3935	4.0962	2.449	4.322	2.459	3.1013	3.8273	1.8684	2.5772	1.7992
EPB41L5	2.9982	3.4685	1.541	3.7032	5.2843	4.2477	3.493	4.2426	3.5742	2.2019	3.6843	2.7033
EPB41	3.7367	3.1647	3.8475	4.3175	4.1887	5.1583	4.3809	4.9646	3.9574	2.7414	4.1823	3.2035
EPB42	0.0321	0	0	0.0807	0	0	0	0	0	0	0.0213	0.0386
EPB49	3.6891	4.6151	5.4452	3.8552	2.2063	5.972	5.4462	7.2505	5.0727	3.2766	6.2314	4.605
EPC1	3.0564	3.5177	3.2955	3.1845	3.5374	4.9268	4.1634	3.7448	3.1664	2.1565	3.404	4.1975
EPC2	3.2796	3.5373	3.7623	3.4995	3.9668	5.1462	4.4789	4.2652	3.5044	2.6214	3.3594	4.5065
EPCAM	8.3949	7.399	8.4046	8.5347	8.6817	8.6221	8.5957	8.899	8.7233	8.4765	9.429	8.5849
EPDR1	2.7724	2.4532	2.7384	2.749	2.4441	4.5114	5.4289	3.8997	2.1804	1.487	3.3306	2.6263
EPGN	0	0	0	0	0	0	0	0	0	0	0	0
EPHA10	0.0362	0.878	1.3917	0.2004	0.3834	0.0298	0.0082	0.5148	1.0875	0.1641	0.024	0.6873
EPHA1	3.9913	3.6266	3.2972	3.8362	4.3201	4.7231	6.1774	4.0328	2.9458	3.0236	4.7734	4.0634
EPHA2	3.8955	3.685	5.2008	2.8069	4.7163	4.3421	3.9325	4.5319	6.0078	4.2989	4.6378	4.9444
EPHA3	0.3621	1.2231	0.1494	0.2865	0.0885	0.2955	0.0079	0.1039	0.0636	0.1676	1.1731	0.4988
EPHA4	1.6681	3.1058	3.9642	1.7202	2.7405	2.4102	0.5474	1.1425	1.392	1.7694	1.0619	1.3859
EPHA5	0.0099	0.0425	0.023	0.0335	0.0191	0.0898	0.006	0.0199	0	0.0066	0.0155	0.0152
EPHA6	0.949	0.3766	0.0933	0.1644	1.3727	0.5591	0.627	1.4228	0.8048	0.6583	0.9428	0.5567
EPHA7	0.0621	0.0418	0.0555	0.488	0.0045	0.8319	0.4342	1.8959	0.0033	0.1861	1.4431	0.1953
EPHA8	0.0835	0	0.1541	0.0578	0.2814	0.2862	0.2724	0.6051	0.0875	0.074	0.1004	0.0172
EPHB1	2.641	0.8872	1.5533	3.4351	1.692	0.6773	0.7169	3.912	0.2708	0.381	3.8979	0.9147
EPHB2	3.1513	3.0403	4.5514	4.8423	5.3117	5.064	3.7787	6.2442	5.9282	3.0599	6.0777	4.1613
EPHB3	0.9333	4.8775	5.6037	3.4933	5.7933	4.9615	4.528	4.2937	4.8275	4.4911	5.4974	6.0508
EPHB4	3.8395	3.5999	3.7749	5.5653	4.4833	6.0096	5.5065	6.1257	2.5419	2.6648	5.1411	6.0309
EPHB6	3.6258	4.0142	3.7677	3.8203	4.5041	5.3562	5.472	3.2748	4.221	3.9957	4.1026	4.0427
EPHX1	7.4617	7.3718	7.8849	7.5526	7.1986	6.8608	8.4456	6.1216	7.3587	8.3956	6.8029	5.8711
EPHX2	3.2192	3.5774	3.4477	3.4667	2.9059	4.2787	5.4777	5.0216	2.5865	2.8481	6.654	4.3519
EPHX3	6.1819	3.4905	3.9844	5.3911	1.1555	0.254	2.6386	0.6044	3.0637	3.6562	1.5727	0.2336
EPHX4	4.0995	2.394	5.1712	3.2039	3.6029	2.9419	2.0857	1.7404	4.0019	2.8505	2.4969	2.4728
EPM2AIP1	3.362	3.3084	4.7799	4.3335	2.9433	5.3643	4.8834	4.2472	2.6615	2.2842	3.0851	3.8336
EPM2A	1.6713	1.4613	1.0685	1.2398	1.5898	3.6808	1.7985	2.1965	1.8826	0.8686	2.4169	1.4695
EPN1	6.4589	6.6344	6.759	6.618	6.6947	7.2079	6.5595	7.999	7.214	6.8311	8.1997	7.5249
EPN2	3.8055	3.8748	4.9449	4.4408	4.7115	5.3018	4.8527	4.1657	4.5056	3.6801	4.9581	4.6779
EPN3	2.1435	4.5437	5.0365	3.676	5.4062	4.2141	5.8722	2.6788	5.0105	4.6031	4.6157	3.6382
EPOR	2.125	2.3027	4.8057	4.2754	4.4021	5.5417	4.489	4.0305	5.0967	1.5854	3.8	2.4234
EPO	0.0345	0	0.0854	0	0.0411	0.2851	0.1776	0.0716	0.0899	0	0.0272	0
EPPK1	1.7174	3.0835	5.8347	4.5406	4.0243	4.516	4.2145	4.4294	2.8404	3.3975	3.8738	3.9139
EPR1	5.1453	2.9323	4.3701	5.6605	6.3537	5.9381	1.853	4.854	3.6164	3.1561	5.9577	4.9329
EPRS	5.092	5.2434	4.3164	5.3893	5.1273	5.9673	5.4396	4.6571	4.0678	4.8617	4.5444	5.3579
EPS15L1	6.1155	4.0862	4.4681	5.5517	4.8128	5.7515	6.0963	5.0399	4.9902	3.8078	4.4511	4.8253
EPS15	3.9264	4.2353	4.2753	3.6004	3.8428	4.5808	4.2144	3.5585	4.1432	3.0173	3.2086	4.0732
EPS8L1	5.0243	6.4153	6.3746	5.3224	5.5655	5.878	5.5727	5.416	6.278	4.7122	5.4346	6.3429
EPS8L2	6.2075	5.2853	6.4615	5.5361	5.6802	5.7525	6.4137	6.1133	7.1837	5.5535	4.7983	6.1945
EPS8L3	0	0	0.0203	0	0	0	0	0.5335	0.1576	0	0	0
EPS8	2.1044	2.4617	3.0138	2.1452	2.473	4.1959	2.4611	3.4637	4.0499	2.1984	3.6883	3.3692
EPSTI1	4.7179	5.3197	4.9283	4.1506	4.756	4.9962	2.5228	2.002	5.155	3.2909	2.4481	2.6616
EPT1	2.7149	2.4887	2.4234	3.4999	3.2573	3.6364	3.4037	3.833	2.5451	1.5973	3.3693	3.1844
EPX	0.0477	0.0216	0.1547	0.1564	0.1307	0.2506	0.1182	0.2051	0.0589	0	0	0.2055
EPYC	0.2275	1.954	0.2506	0	0.1004	2.7234	0	0	0.2717	0.0349	0.5546	2.0653
ERAL1	5.9785	5.0268	5.4294	6.2165	6.297	6.1203	5.3348	6.363	5.9456	5.1671	6.8499	5.1045
ERAP1	4.5691	4.0657	3.5042	3.4522	3.0205	5.2048	4.6339	3.7299	3.4585	3.1032	2.4607	4.8652
ERAP2	4.4938	4.2101	4.77	0.7211	4.1718	4.3684	3.5716	0.3636	1.8713	0.3888	2.4816	4.8236
ERAS	0.313	0	0.403	0.1414	0.4612	1.416	0.4723	0.0449	1.2214	0.0219	0.3112	0.077
ERBB2IP	4.0962	3.8763	4.3084	4.0336	4.626	5.3012	3.8121	3.6774	3.6852	2.8672	3.3284	4.2332
ERBB2	5.4915	5.67	6.8718	5.9019	5.6647	6.7913	6.7983	6.3039	7.2318	6.2515	6.9997	5.8978
ERBB3	6.1895	6.6853	6.8714	6.2665	5.9413	6.1731	5.7725	4.6684	6.8497	5.0096	5.0712	6.3547
ERBB4	1.7257	2.4227	0.9904	0.972	1.7937	3.9326	0.7509	1.0959	0.2055	2.8975	1.0534	0.3018
ERC1	3.0101	3.5488	4.1225	3.0921	3.218	4.9954	5.1188	4.314	3.6872	3.0724	4.0242	4.6645
ERC2	0.7339	0.1557	0.3539	0.8835	0.2536	1.5322	0.6743	0.6363	0.3848	0.0643	0.4762	0.3141
ERCC1	7.2527	6.2841	5.4022	5.8553	5.7732	5.9686	5.9569	6.8916	6.6384	7.1581	7.5283	6.9674
ERCC2	4.2733	3.2207	2.4745	3.2734	2.4629	4.7288	4.1296	5.6367	3.4853	3.7618	5.2056	4.3533
ERCC3	4.9369	4.1188	4.3324	5.0331	5.2387	5.2701	5.0517	5.1716	4.9432	3.5972	5.4616	5.129
ERCC4	2.5746	1.7845	1.6756	1.7184	1.62	2.7379	2.0912	2.1078	1.9054	0.9486	1.4589	2.1756
ERCC5	4.1996	3.1207	3.5516	3.1781	2.8993	3.8088	4.5328	4.9163	2.9506	2.6223	3.1205	3.4668
ERCC6L	2.3198	0.7043	2.6569	2.5413	2.4268	2.8721	1.3002	1.8672	1.1826	0.3284	1.5242	2.0569
ERCC6	1.5364	2.0695	2.9968	1.9733	1.8994	2.9434	2.8495	1.5889	2.0139	0.9095	1.4764	2.1429
ERCC8	2.7066	2.1977	1.8982	2.8024	2.6589	3.3973	1.9553	2.7433	1.9534	1.733	3.3378	2.9438
EREG	0.3412	0.0602	1.2621	0	0.2512	0.0704	0.0196	0.0112	0.4311	0.1308	0.1631	0.0884
ERF	6.7935	6.7027	5.6498	6.1686	5.969	6.973	6.291	7.2294	5.617	5.1874	6.8097	6.8637
ERGIC1	7.407	7.3159	7.8756	6.4748	7.7753	7.3435	6.5752	7.9436	7.9021	6.8418	7.3343	7.4998
ERGIC2	4.8519	5.2645	5.9589	4.265	5.6524	5.1452	4.9313	4.6605	4.9196	4.1387	5.0386	4.7208
ERGIC3	8.5604	8.4833	8.6452	10.2531	8.8654	8.9721	9.2214	8.8958	8.8483	8.9199	9.5603	8.9606
ERG	1.2368	1.1603	1.6545	1.037	1.189	2.6356	1.0654	0.9501	1.0322	0.6913	1.9311	1.8006
ERH	7.5241	7.3025	7.7689	8.5132	8.5696	8.7772	8.9558	8.534	8.5461	7.377	8.3317	7.8492
ERI1	2.7397	1.8378	2.9118	3.1826	2.8644	3.4164	2.9069	3.0298	2.887	1.3026	3.4953	2.6806
ERI2	4.1841	2.8503	3.3541	3.0635	3.9763	3.8266	3.03	3.2811	2.4498	1.7508	3.2743	3.4004
ERI3	6.703	6.2484	7.0253	6.8051	7.2956	7.2906	6.9479	6.9382	7.4052	6.6675	7.5533	6.6063
ERICH1	3.6887	2.94	3.0164	3.3806	2.9555	3.8274	3.7044	2.9334	3.0173	1.1645	3.6998	3.5135
ERLEC1	4.714	4.7026	4.4573	4.7735	4.5242	5.1564	4.74	5.3227	4.8534	3.6509	5.3433	4.9167
ERLIN1	4.4138	4.6989	4.7523	3.9695	4.3448	5.4052	4.8282	4.3905	4.2368	3.519	4.7696	5.5218
ERLIN2	4.4271	4.1908	5.4606	5.6511	4.4363	4.7473	4.9305	4.9888	4.1114	3.622	5.8862	4.3523
ERMAP	2.2227	3.1772	2.5151	1.5105	2.9717	4.1596	4.2017	4.1716	3.7063	2.6204	2.9216	3.0123
ERMN	0.0869	0.1904	0.0752	0.1704	0.1815	0.8462	0	0.1344	0.5609	0.0076	0.0182	0.0957
ERMP1	4.1214	3.7207	4.0989	2.6594	3.9334	5.7509	2.7419	3.938	5.0357	2.5101	2.9032	4.1728
ERN1	0.7047	1.2592	0.9722	0.6784	0.9483	1.895	0.595	1.6268	0.8026	0.5705	1.5669	1.7311
ERN2	0.8589	0.3646	0.2036	0.1887	0.0086	0.1508	0.4654	0.5714	1.8568	0.0932	0.0857	0.3793
ERO1LB	2.6161	1.8814	1.4206	1.842	1.0692	1.8667	1.2788	1.5318	2.161	0.8958	1.9562	1.1928
ERO1L	4.1291	4.6918	3.7642	3.5955	4.1999	5.2069	3.8414	4.7416	4.4602	3.3597	3.2221	5.1211
ERP27	2.7107	3.6455	3.9647	2.1876	4.6962	4.2187	4.9331	7.6412	6.5654	4.1191	3.4036	8.0459
ERP29	7.3955	6.5067	6.7091	6.9452	7.4624	6.6137	7.6965	7.7972	8.0309	6.593	7.9399	6.369
ERP44	5.667	4.7762	5.8431	4.2703	5.3184	4.6131	4.0838	3.8388	5.0716	4.2794	4.3562	5.2409
ERRFI1	3.3061	3.6964	5.3416	4.2121	4.3761	5.2439	3.2603	4.7348	4.7022	2.488	4.6957	4.2322
ERVFRDE1	0.0397	0.0358	0.0876	0.0405	0.0188	0.0394	0.0432	0.112	0.0352	0	0	0.1025
ESAM	3.845	3.809	3.5002	3.7129	3.9113	4.3851	3.0372	3.7879	2.9356	2.6492	5.8255	3.9305
ESCO1	3.0418	2.5232	2.9467	2.5088	2.9727	4.0955	2.2996	2.3821	2.5737	1.7373	2.6257	3.4227
ESCO2	3.0653	1.2577	2.4021	2.8141	2.6809	2.209	1.3317	2.2645	1.1328	0.4844	2.6978	3.2503
ESD	7.0426	5.7727	6.4518	6.62	5.203	6.4349	6.7383	7.6359	6.0132	6.4468	6.6383	6.7219
ESF1	3.8228	3.3249	4.1779	5.624	3.6223	4.8599	3.9932	2.6402	2.5135	1.8967	3.1526	3.7858
ESM1	3.3505	2.0966	2.65	3.2408	3.7153	4.1433	2.6061	0.8309	2.0173	1.8065	4.5635	2.9252
ESPL1	4.0349	1.8472	3.121	4.3513	3.7082	3.9963	2.1454	5.4041	2.6027	2.2332	3.986	3.937
ESPNL	1.6827	0.1717	0.4169	2.3062	0.1507	3.7084	3.5412	1.1625	0.4362	2.2718	2.2239	0.5598
ESPNP	0.1069	0	0.6185	0.9563	0.3339	1.959	0.5781	1.6069	1.6743	0.1276	1.7853	0.0839
ESPN	4.5153	3.5826	7.0001	4.8689	6.2935	5.856	5.932	4.7654	6.0101	5.3889	8.2218	4.0259
ESR1	4.2668	5.3428	5.4452	4.008	5.7619	6.4995	5.718	0.2721	5.1088	4.3086	1.0581	5.4263
ESR2	0.1569	0.409	0.548	0.3232	0.2297	1.1239	0.1525	1.12	0.4733	0.4013	0.1322	0.748
ESRP1	5.9737	6.4582	7.2883	6.3428	7.1441	5.9734	6.5404	6.783	5.0579	5.9045	5.4983	6.5544
ESRP2	3.682	4.1644	3.9259	4.6112	3.7136	5.3545	4.9146	5.627	4.9561	3.0425	5.6078	3.6396
ESRRA	5.1701	4.1674	5.8874	4.3048	5.3284	3.221	3.6088	4.2089	3.635	6.1472	5.1676	5.2181
ESRRB	0	0.0564	0.0816	0.3706	0.0466	0.9221	1.9873	0.7732	0.3902	0.162	0.4172	0.0404
ESRRG	0.1568	1.5881	0.3581	1.0239	0.7829	2.2547	2.5964	0.548	0.8357	0.2896	1.0542	2.8168
ESX1	0.0366	0	0	0.4555	0.0218	0.0907	0	0.0751	0.0165	0	0	0
ESYT1	6.043	5.5698	5.0921	5.7922	5.9041	6.8376	6.6211	5.6239	6.3164	4.7246	5.8574	6.0896
ESYT2	4.99	5.6698	6.3522	5.3002	5.5676	6.0911	6.1688	4.8548	5.2225	5.24	4.2836	6.3708
ESYT3	0.6057	0.2573	2.7764	2.0185	0.4052	1.2162	0.202	1.8076	0.9284	0.4011	0.1911	0.1053
ETAA1	3.8011	2.9354	2.6307	2.7528	3.7446	3.6336	3.4419	3.3267	3.1175	1.9219	3.4075	3.6049
ETF1	5.6005	5.4517	5.2162	5.2788	5.6434	5.8156	4.4829	5.5364	5.4077	5.4948	5.02	6.0238
ETFA	5.9508	5.6885	5.6781	5.7524	5.3206	5.5408	5.3065	5.8758	5.8538	4.6771	6.6864	5.9069
ETFB	5.6305	5.8053	5.6685	6.0031	6.0619	5.4463	6.1531	5.5743	5.7032	6.5837	6.9681	6.5291
ETFDH	2.4772	2.7932	3.0889	3.2529	3.6563	3.305	3.6924	3.1562	2.8386	2.2131	3.1396	2.2527
ETHE1	6.1475	5.1796	5.0983	5.4956	4.2038	4.8723	5.8986	5.214	5.6048	5.5986	5.8755	6.1463
ETNK1	3.0139	3.7959	3.4994	2.8482	3.3893	4.3527	3.9495	4.3174	3.6905	2.6176	4.2629	3.6686
ETNK2	3.1271	3.1589	3.4841	5.481	4.0508	5.8244	3.9627	3.9092	4.2259	2.7182	4.9019	2.513
ETS1	3.2814	3.9379	4.4867	3.7097	3.1848	3.3287	2.2099	2.4201	2.3805	2.0878	3.4026	4.0355
ETS2	4.7342	3.9467	4.2683	4.0007	3.3289	5.5009	3.6103	4.1058	4.6291	3.6812	4.5287	4.1494
ETV1	0.8634	1.1927	0.9233	0.4979	0.6196	2.2395	1.8441	1.3053	0.5123	0.2103	1.8675	1.9255
ETV2	2.2718	1.2115	1.8198	1.9166	0.9162	1.4716	1.3177	2.0664	1.1942	1.4193	1.8193	1.4739
ETV3L	0.0526	0.0875	0.0188	0.0449	0.0917	0.2461	0.161	0.1069	0.1472	0.0785	0.6914	0.1951
ETV3	2.3371	2.7779	2.1445	2.263	2.3151	3.8052	3.4923	3.6571	2.4655	2.3303	2.9148	3.453
ETV4	5.1118	7.2135	4.7884	2.583	6.6312	5.6677	7.8941	5.4101	7.1332	5.2188	4.4936	7.2589
ETV5	2.3767	4.3498	3.1587	1.1544	5.4084	6.2837	5.5578	4.3294	4.8674	1.564	3.85	5.6195
ETV6	4.0473	4.6924	5.0413	2.5548	4.367	4.0451	4.7949	4.4261	4.8462	3.6758	3.7379	5.4103
ETV7	4.0938	4.4691	2.3986	0.697	3.9716	2.1262	1.5273	0.074	2.8221	2.4389	0.2508	3.1573
EVC2	1.8495	0.7648	1.7813	2.7747	2.0711	2.713	2.7529	2.064	1.1357	0.5056	1.3756	2.0972
EVC	1.6062	1.7552	2.776	2.9597	2.563	3.3711	3.4191	3.3808	2.2872	1.1943	1.9578	3.2345
EVI2A	3.5045	4.9177	2.5395	0.5117	3.1615	0.8327	1.0143	0.319	4.9302	1.8386	1.4011	3.8205
EVI2B	4.6424	6.1044	3.4386	0.7419	4.1659	1.4506	1.7096	0.7198	5.1914	2.4372	2.0498	4.7532
EVI5L	2.4639	2.4051	3.8142	5.7423	2.601	4.6231	3.4782	3.9214	2.7724	2.8168	3.7335	3.8186
EVI5	1.4511	1.9253	2.9556	1.7704	1.6391	3.004	1.7657	1.228	2.1274	1.0666	1.8687	1.7015
EVL	5.0452	5.4778	4.1397	5.9151	4.9348	6.7153	5.8461	5.859	5.4474	3.3878	6.496	5.6702
EVPLL	0.519	0.2711	1.9369	1.0029	1.0826	1.8968	3.0124	0.0273	1.7775	1.3049	1.273	0.4722
EVPL	3.728	4.1348	4.6385	3.357	3.72	4.1429	3.6147	2.3119	3.2853	3.3302	4.1014	3.9629
EVX1	0.0162	0	0	0	0	0.0272	0	0.0294	0	0	0	0
EVX2	0	0	0	0	0	0	0.03	0	0	0	0	0
EWSR1	6.1812	6.0262	6.5459	6.698	6.3808	5.7427	5.7891	6.936	6.1726	4.9525	6.4421	5.8775
EXD1	0.0854	0	0.3637	0.1012	0.0527	0.0921	0.0609	0	0.0308	0.0175	0.0737	0.0136
EXD2	3.2057	3.0024	3.7678	3.7699	3.4023	5.7435	5.1154	4.3833	4.3532	2.7932	4.3238	3.9799
EXD3	2.8056	2.2976	3.7093	2.4498	2.3588	3.92	3.1247	3.6853	4.3049	3.2236	3.5822	2.8878
EXO1	3.1628	1.1988	1.8551	3.5462	3.1848	3.4695	1.6479	3.4638	1.5009	1.9588	3.3926	3.4007
EXOC1	4.3005	4.1303	4.3579	4.521	4.395	4.9983	4.268	3.931	4.154	2.6442	4.7156	3.3931
EXOC2	3.5165	3.686	3.355	4.0249	3.6358	4.4043	2.6248	3.0083	3.624	2.4344	2.8467	3.3078
EXOC3L2	1.9999	1.8346	1.5454	1.3149	1.7243	2.3979	0.9728	1.458	1.3722	0.7879	3.0984	1.7981
EXOC3L	1.2739	1.9401	1.04	1.0934	1.0523	2.0444	1.0228	2.6072	1.1105	0.8264	2.3982	1.2576
EXOC3	4.5794	4.922	5.4932	4.704	5.1737	5.3206	4.5915	4.4901	5.4547	3.7184	4.708	5.9019
EXOC4	4.5941	4.9535	4.8478	5.658	4.4938	6.2237	5.1433	5.6258	4.8854	4.0697	5.5747	5.7957
EXOC5	2.2383	2.2524	3.2003	2.7126	2.5553	4.3017	2.9715	3.4831	2.823	1.8085	2.6451	3.1969
EXOC6B	1.1317	1.3177	1.6384	1.7081	0.9935	2.6411	1.9906	3.084	1.7447	0.6557	2.184	2.3474
EXOC6	1.9687	2.8143	2.5696	2.5497	3.3849	3.8166	3.325	2.6223	2.1774	1.7575	2.3464	2.7281
EXOC7	5.4359	5.3609	6.0513	5.7258	6.0154	6.5538	5.2377	6.7777	5.926	4.5373	6.7755	6.573
EXOC8	2.2194	2.8333	2.1899	2.3937	2.3413	3.4279	2.9792	2.365	2.392	2.8993	2.3112	3.5329
EXOG	2.2454	1.5786	2.3683	1.8348	1.4245	3.3073	2.3384	2.8276	2.0808	0.6897	2.2431	2.0501
EXOSC10	6.0318	4.6714	5.7478	5.0448	5.5749	5.8501	4.5947	5.8035	5.1741	3.9266	5.618	4.6081
EXOSC1	6.0075	4.9392	5.3561	4.9152	5.2183	5.3976	5.4149	5.3241	5.0531	5.0994	5.5414	5.0266
EXOSC2	4.2734	3.349	4.4127	4.2349	4.9062	4.7612	3.5271	4.2934	4.0143	3.5392	4.7974	3.7916
EXOSC3	5.4264	4.3501	4.4432	5.1873	5.297	5.992	4.0494	4.7129	5.1694	4.0874	4.7004	5.0472
EXOSC4	6.6708	6.7953	7.415	7.4077	6.8902	5.6176	6.224	5.9405	5.7971	7.0359	6.6178	6.7823
EXOSC5	7.3216	5.9925	5.4635	5.8294	5.5787	5.5151	5.5022	6.4967	6.012	6.7037	6.9441	6.0987
EXOSC6	4.2007	3.8165	3.6189	4.0914	3.5255	5.604	4.4879	4.5091	3.9244	3.2271	4.2917	3.4773
EXOSC7	5.1326	4.4195	3.9038	5.6781	4.0074	5.1358	5.5786	5.7122	4.5725	4.3974	5.071	4.9443
EXOSC8	5.2701	3.6755	4.8099	5.2222	5.756	4.7773	4.7993	5.4442	4.1687	4.1406	5.1742	4.8891
EXOSC9	4.6998	3.7612	4.4699	5.3021	5.3633	4.757	4.6445	3.9351	3.6814	3.3861	4.8502	3.7486
EXPH5	0.8187	1.1674	2.0715	1.347	1.0964	1.6208	1.3624	1.1602	0.6688	1.0207	0.9087	2.3485
EXT1	4.6153	4.3963	6.3499	5.6682	5.6012	5.1842	5.1036	5.4465	3.7462	4.6509	5.0773	5.2776
EXT2	4.7392	4.4071	5.8204	4.8801	4.3784	5.3388	5.2239	5.3823	4.4364	3.7862	6.2132	5.2562
EXTL1	0.3477	0.6346	0.2218	0.7817	0.2266	0.5716	1.2201	0.9239	0.3563	0.0682	0.8517	0.2049
EXTL2	3.1107	2.6503	3.0484	3.5904	2.6291	4.9818	4.3265	3.6328	3.3786	1.985	4.7305	3.0815
EXTL3	2.2732	3.2085	3.684	3.7972	2.9766	4.6626	3.8331	4.9626	3.76	1.9376	5.4159	4.5217
EYA1	0	0	0.1405	0.077	0.6667	0.1157	0	0.9923	1.4349	0.0328	0.9868	0.0236
EYA2	9.0217	6.4822	7.0645	8.6925	5.7546	7.2042	6.0877	3.1373	2.8485	6.1058	7.2325	5.6981
EYA3	3.2544	2.1525	2.8391	2.2659	2.68	4.0158	2.5674	3.3048	3.4243	1.7559	2.7089	3.2403
EYA4	1.3978	0.2338	0.1201	0.2212	1.3476	3.7176	2.3052	0.0902	0.2599	1.7962	0.622	0.0215
EYS	0.0566	0.1984	0.1841	0.0835	0.1214	0.1676	0.1007	0.2512	0.1312	0.0286	0.1105	0.0797
EZH1	2.5321	3.8319	4.1477	2.8357	2.5235	3.8727	3.0367	3.9771	3.5857	2.2289	3.2921	3.3848
EZH2	4.3452	2.9282	4.2299	4.9353	5.2029	3.4622	2.9221	4.7273	2.8407	2.0389	4.3006	3.8715
EZR	7.87	6.4463	8.2061	7.1128	6.66	6.8153	6.2561	5.6672	7.5212	5.5287	6.2368	6.9228
F10	0.3991	0.734	2.6059	2.403	0.4005	2.6113	4.9796	1.6025	0.6287	0.3867	0.258	0.9239
F11R	5.8723	5.5445	5.6491	5.723	6.1905	6.173	5.2289	5.8747	5.3869	5.6241	5.8147	5.8771
F11	0	0	0.0159	0	0	0	0.0185	0	0	0	0.0104	0
F12	2.1733	0.5077	3.9051	3.5244	0.377	1.1669	0.3751	0.7044	1.493	2.3911	1.2699	0.7696
F13A1	1.4864	2.8041	2.5792	0.8058	1.4013	2.7019	1.1758	2.2773	4.4187	1.648	5.2676	4.383
F13B	0	0	0.0165	0	0.0139	0.0196	0	0	0	0	0	0
F2RL1	4.2962	2.9138	4.3691	4.4468	2.8954	4.6587	3.1383	3.1644	2.2245	2.6096	2.1959	3.0661
F2RL2	0.1015	0.3145	0.0643	0.0652	0.9312	0.2162	0.7403	0.1089	0	0.0078	2.6028	0.168
F2RL3	1.3775	0.514	0.8942	1.4524	1.5519	2.2361	1.3976	0.8386	1.5914	0.056	0.8002	0.2404
F2R	3.2881	3.5256	3.0205	3.3894	3.8374	4.5991	1.621	3.4427	1.2533	1.1213	3.9074	3.3105
F2	0.026	0	0.0898	0	0	0	0	0.4423	0.0686	0	0	0.0313
F3	2.6702	2.3692	4.6034	1.3999	2.2804	3.0017	4.0676	1.6134	4.0132	2.7271	1.489	3.8898
F5	0.1952	0.1613	0.0337	0.0589	0.1072	0.0264	0.0146	0.0548	0.1173	0.0027	0.0179	0.148
F7	0.0787	0.1193	1.6276	0.0303	0	0.5516	0.5737	0.652	0.0159	0.0443	0	0.0425
F8A1	5.7933	6.0223	6.8111	5.5364	5.2948	7.1259	6.0831	5.5231	6.6695	5.7931	6.0403	6.0441
F8	2.84	3.1194	2.9649	1.6643	2.0721	3.6865	3.4171	1.7264	3.6012	2.0605	1.9832	3.0283
F9	0	0	0	0	0	0	0	0	0	0	0	0
FA2H	1.7298	1.1756	1.6646	1.8372	1.5302	3.6352	2.2435	2.0444	2.5017	0.4115	2.5546	0.4519
FAAH2	3.7151	2.8509	2.4501	1.5476	2.7665	3.3659	3.1129	2.5299	3.6799	2.2698	2.6555	3.4109
FAAH	3.4919	2.8635	3.7496	2.4795	3.2955	3.2256	3.464	2.8541	4.4089	4.2502	3.595	3.2071
FABP12	0	0	0	0	0	0	0	0	0	0	0	0
FABP1	0	0	0.0202	0	0.0169	0.0239	0	0	0.3588	0	0.0904	0
FABP2	0.0232	0.101	0.0642	0.5537	0	0.0571	0.0211	0.0474	0.0408	0	0.0154	0
FABP3	4.034	4.9614	3.2054	4.2062	2.5529	6.0148	6.5054	3.0545	3.2515	2.7442	3.4099	2.2979
